152056,UNKNOWN,TP-Link_691E,D8:47:32:5C:69:1E,-90,9
152056,UNKNOWN,ZCGA_05063,00:1B:93:01:13:C7,-90,12
152056,UNKNOWN,DIRECT-79-HP OfficeJet Pro 8730,06:0E:3C:75:4A:79,-91,1
152056,UNKNOWN,?,EA:38:83:73:1B:4E,-91,6
152056,UNKNOWN,eduspot,00:F6:63:E6:2E:D1,-91,6
152056,UNKNOWN,ISIR,E8:65:D4:4E:A6:81,-91,7
152056,UNKNOWN,CONGRES,00:F6:63:DD:4B:22,-92,1
152056,UNKNOWN,SFR_94E8,6C:61:F4:32:94:EE,-92,1
152056,UNKNOWN,SoloNet-F3:16,90:03:B7:39:F3:16,-92,10
152056,UNKNOWN,CY_Home,A0:04:60:B5:B2:B8,-92,13
152056,UNKNOWN,?,DA:47:32:6C:69:1E,-93,9
159371,UNKNOWN,iPhone,6A:56:19:04:41:7A,-55,6
159371,UNKNOWN,eduroam,00:F6:63:AC:D8:34,-60,6
159371,UNKNOWN,CONGRES,00:F6:63:AC:D8:32,-60,6
159371,UNKNOWN,eduspot,00:F6:63:AC:D8:31,-60,6
159371,UNKNOWN,eduroam,00:F6:63:DD:36:C4,-72,11
159371,UNKNOWN,CONGRES,00:F6:63:DD:36:C2,-72,11
159371,UNKNOWN,eduspot,00:F6:63:DD:36:C1,-72,11
159371,UNKNOWN,POCO F6 Pro,76:55:B0:6D:40:15,-75,1
159371,UNKNOWN,TP-Link_39A2_FO,28:87:BA:84:39:A2,-80,11
159371,UNKNOWN,eduspot,00:F6:63:B1:CD:91,-80,11
159371,UNKNOWN,CONGRES,00:F6:63:B1:CD:92,-80,11
159371,UNKNOWN,SFR_9F8F,B0:B3:69:D3:9F:91,-81,1
159371,UNKNOWN,eduroam,00:F6:63:C7:2A:F4,-81,1
159371,UNKNOWN,eduroam,00:F6:63:B1:CD:94,-81,11
159371,UNKNOWN,CONGRES,00:F6:63:E6:2F:C2,-83,6
159371,UNKNOWN,Rigatoni,68:A3:78:76:B1:EE,-83,2
159371,UNKNOWN,El Guacamole,E4:38:83:73:1B:4E,-84,6
159371,UNKNOWN,eduspot,00:F6:63:E6:2F:C1,-84,6
159371,UNKNOWN,eduroam,00:F6:63:E6:2F:C4,-84,6
159371,UNKNOWN,?,D0:6E:DE:67:17:F0,-84,11
159371,UNKNOWN,?,EA:38:83:73:1B:4E,-85,6
159371,UNKNOWN,eduroam,00:F6:63:C7:2D:C4,-85,11
159371,UNKNOWN,eduspot,00:F6:63:C7:2D:C1,-85,11
159371,UNKNOWN,ZCGA_05063,00:1B:93:01:13:C7,-85,12
159371,UNKNOWN,Freebox-6B47F8,DC:00:B0:F7:5F:80,-86,6
159371,UNKNOWN,eduspot,00:F6:63:E6:3A:A0,-86,6
159371,UNKNOWN,CONGRES,00:F6:63:E6:3A:A1,-87,6
159371,UNKNOWN,eduroam,00:F6:63:E6:3A:A2,-88,6
159371,UNKNOWN,CONGRES,00:F6:63:DD:4B:62,-88,6
159371,UNKNOWN,eduspot,00:F6:63:DD:3D:C1,-88,1
159371,UNKNOWN,laddition-6280,9C:05:D6:43:8D:FA,-88,11
159371,UNKNOWN,Galaxy M12FA17,06:4D:1A:25:DA:D4,-88,11
159371,UNKNOWN,eduspot,D8:C7:C8:24:D0:53,-88,11
159371,UNKNOWN,Livebox-1840,04:E3:1A:9F:18:40,-89,6
159371,UNKNOWN,eduroam,00:FE:C8:DD:17:44,-89,6
159371,UNKNOWN,eduspot,00:F6:63:DD:3D:F1,-89,11
159371,UNKNOWN,eduroam,00:F6:63:DD:3D:F4,-89,11
159371,UNKNOWN,SFR_89B0,CC:2D:1B:6A:89:B6,-90,6
159371,UNKNOWN,CONGRES,00:FE:C8:DD:17:42,-90,6
159371,UNKNOWN,?,04:17:B6:4D:C3:C7,-90,6
159371,UNKNOWN,?,DA:47:32:6C:69:1E,-90,9
159371,UNKNOWN,Freebox-1CD2CF,3A:07:16:F3:4B:34,-90,11
